epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3152,1.57738,5.60772,1.49013,0,0,0,0,1.26298,4.93827,1.29107,2.964e-05,2.964e-05,2.964e-05
2,60.6329,1.46719,5.46048,1.42349,0,0,0,0,1.26851,4.90658,1.28161,6.02377e-05,6.02377e-05,6.02377e-05
3,71.8332,1.47136,5.24363,1.43358,0,0,0,0,1.31188,4.8037,1.25911,9.02176e-05,9.02176e-05,9.02176e-05
4,83.0937,1.53635,5.13245,1.49249,0.00761,0.0769,0.01362,0.01231,1.42423,4.64841,1.30087,0.00011958,0.00011958,0.00011958
5,94.2687,1.55976,4.94616,1.47538,0.58044,0.04093,0.02105,0.01793,1.45634,4.45809,1.33829,0.000148324,0.000148324,0.000148324
6,105.247,1.54771,4.77151,1.47618,0.59297,0.05271,0.02452,0.02121,1.44905,4.28001,1.32844,0.000148278,0.000148278,0.000148278
7,116.57,1.53595,4.70066,1.44171,0.52321,0.05459,0.02625,0.02236,1.47272,4.17597,1.36251,0.000146734,0.000146734,0.000146734
8,127.686,1.52766,4.53445,1.42936,0.49383,0.03274,0.02683,0.02151,1.49776,4.12567,1.38432,0.000145189,0.000145189,0.000145189
9,138.502,1.51505,4.52625,1.4478,0.47289,0.03983,0.0339,0.02882,1.49544,4.08509,1.39956,0.000143645,0.000143645,0.000143645
10,150.213,1.50484,4.44777,1.43886,0.45719,0.06159,0.05207,0.04494,1.51499,4.0358,1.41477,0.0001421,0.0001421,0.0001421
11,161.556,1.4115,4.20821,1.36611,0.4147,0.06885,0.0445,0.03745,1.54204,3.97677,1.43828,0.000140556,0.000140556,0.000140556
12,173.119,1.43384,4.21811,1.4082,0.34918,0.04777,0.04555,0.03831,1.54328,3.93891,1.44874,0.000139012,0.000139012,0.000139012
13,184.054,1.3916,3.9769,1.35402,0.3594,0.0587,0.04578,0.0366,1.53603,3.94183,1.44147,0.000137467,0.000137467,0.000137467
14,195.219,1.36994,4.07302,1.36745,0.3632,0.05988,0.0493,0.03947,1.51264,3.89644,1.42422,0.000135923,0.000135923,0.000135923
15,206.778,1.5153,4.12591,1.43746,0.3671,0.04873,0.05065,0.04362,1.50065,3.85537,1.40963,0.000134378,0.000134378,0.000134378
16,217.632,1.4431,3.93872,1.37076,0.32061,0.04043,0.04771,0.03998,1.50553,3.87752,1.4164,0.000132834,0.000132834,0.000132834
17,228.45,1.44392,3.92354,1.38736,0.30659,0.08823,0.04215,0.03431,1.47687,3.85644,1.3879,0.00013129,0.00013129,0.00013129
18,240.133,1.36849,3.83035,1.34952,0.26159,0.07529,0.04091,0.0325,1.48497,3.87269,1.38812,0.000129745,0.000129745,0.000129745
19,250.921,1.42351,3.7627,1.35658,0.38344,0.08521,0.04657,0.03571,1.49724,3.78845,1.39757,0.000128201,0.000128201,0.000128201
20,262.009,1.36762,3.7219,1.33785,0.36908,0.10966,0.06358,0.04675,1.51474,3.82576,1.40592,0.000126656,0.000126656,0.000126656
21,273.484,1.47606,3.79118,1.40823,0.30781,0.12083,0.05642,0.04212,1.5319,3.83461,1.41719,0.000125112,0.000125112,0.000125112
22,284.149,1.37954,3.48763,1.30915,0.29645,0.08946,0.054,0.04279,1.54437,3.81475,1.40374,0.000123568,0.000123568,0.000123568
