epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6033,1.30993,2.97728,1.16554,0.10963,0.46258,0.14874,0.09849,1.08226,4.21672,0.96909,0.00028339,0.00028339,0.00028339
2,18.822,1.28755,1.84001,1.08882,0.22035,0.27339,0.11335,0.0835,1.339,2.891,1.02637,0.000577674,0.000577674,0.000577674
3,25.2918,1.35206,1.70067,1.0942,0.33768,0.25988,0.16483,0.11881,1.27976,2.40726,0.97523,0.000866017,0.000866017,0.000866017
4,32.0988,1.34779,1.7376,1.13948,0.09169,0.38877,0.17062,0.10838,1.50286,6.23306,1.07278,0.00114842,0.00114842,0.00114842
5,38.8752,1.44372,1.71657,1.18066,0.0629,0.07692,0.03,0.01197,1.95479,30.0247,1.42389,0.00142488,0.00142488,0.00142488
6,45.3364,1.43025,1.65908,1.14458,0.11945,0.14449,0.0336,0.01646,1.58309,27.917,1.24111,0.00158448,0.00158448,0.00158448
7,52.0131,1.43913,1.71629,1.14901,0.03288,0.26611,0.02085,0.00833,1.56953,14.8398,1.27906,0.00156798,0.00156798,0.00156798
8,58.2189,1.48568,1.69195,1.23257,0.30227,0.158,0.10216,0.06815,1.65556,4.06553,1.26562,0.00155148,0.00155148,0.00155148
9,64.8044,1.48003,1.68678,1.17384,0.14261,0.11839,0.10386,0.06333,1.83682,3.41488,1.27593,0.00153497,0.00153497,0.00153497
10,71.5062,1.36828,1.55597,1.13624,0.31816,0.15317,0.12115,0.06276,2.45826,4.16905,1.8599,0.00151847,0.00151847,0.00151847
11,77.9604,1.45192,1.60618,1.18662,0.33647,0.37942,0.26046,0.13529,2.63915,4.20647,1.79367,0.00150197,0.00150197,0.00150197
12,84.9139,1.40205,1.523,1.19038,0.56979,0.35655,0.36037,0.21384,1.50431,1.37836,1.22493,0.00148546,0.00148546,0.00148546
